grid_point, analysis_value, analysis_increment
[18, 9],5649.363286708592,-12.59077902604895
[18, 10],5675.54673332329,-0.8374058192830489
[18, 11],5701.705032731439,10.781349458178738
[18, 12],5713.797276496969,6.619671930940967
[18, 13],5733.319898720857,8.65589986422765
[18, 14],5754.503247701058,14.315248710327978
[18, 15],5775.14718381991,22.85427273825917
[18, 16],5789.5577239377535,27.522207172552044
[18, 17],5800.763987583914,30.12744498727625
[18, 18],5808.1596549386195,29.29003695172287
[18, 19],5824.293202645769,36.87832083734156
[18, 20],5847.647800045458,51.21306404742609
[18, 21],5869.472599491226,64.50611332545395
[19, 0],5294.089447555221,-27.922984053871915
[19, 1],5367.879285359775,-0.0979767021835869
[19, 2],5429.771150674576,6.248319191252449
[19, 3],5466.554895886124,-19.08447427154988
[19, 4],5516.188598032193,-27.13334719447994
[19, 5],5560.473207165531,-29.375964019595813
[19, 6],5592.885252928927,-30.300749222993545
[19, 7],5619.972724760851,-25.67826374881588
[19, 8],5646.986987528243,-15.429128685169417
[19, 9],5673.200273266964,-4.079150216936796
[19, 10],5697.74814204249,5.7035806140556815
[19, 11],5720.209371696164,11.771642885577421
[19, 12],5736.02174091445,8.330937173097482
[19, 13],5756.787756639054,9.580367089541141
[19, 14],5780.042803947134,17.173312053747395
[19, 15],5798.5587315669845,24.12117841649888
[19, 16],5813.738158808761,29.975988627325023
[19, 17],5827.459265730809,35.73968266456268
[19, 18],5832.08921162325,33.728330574029314
[19, 19],5841.539744870296,37.71828117725272
[19, 20],5852.859543567398,44.30459581333798
[19, 21],5870.143180203481,56.96702929064395
[20, 0],5315.10516247761,-35.928196933756226
[20, 1],5392.8043908754225,-5.54900113874919
[20, 2],5429.594682832263,-28.711679244386687
[20, 3],5497.807740105829,-25.49693224118346
[20, 4],5548.731303489641,-27.029848328223125
[20, 5],5586.687056242977,-25.712544944987712
[20, 6],5617.823050976947,-20.99784058084515
[20, 7],5642.985563789872,-16.33982863608344
[20, 8],5668.986750834937,-7.48170278280395
[20, 9],5694.314924933273,2.343637448825575
[20, 10],5717.947741998477,10.367769209760809
[20, 11],5737.370674596748,11.59177523553808
[20, 12],5759.046304843875,11.657259824981338
[20, 13],5776.809443606688,8.841739324197079
[20, 14],5797.8392124895645,14.684779568721751
[20, 15],5818.427087414284,24.56939459186833
[20, 16],5832.388561775589,30.0388374978711
[20, 17],5843.015054107821,33.73657713402736
[20, 18],5847.223033421913,32.85376054116023
[20, 19],5847.462729876985,29.925301258144827
[20, 20],5855.440123887,36.3370396032833
[20, 21],5865.387627688697,45.30868667215873
[21, 0],5321.076152201405,-59.24622559501495
[21, 1],5403.970617287774,-27.205499895320827
[21, 2],5453.22219951073,-38.49519310719279
[21, 3],5523.215484990052,-27.95681336189591
[21, 4],5576.627881573895,-18.799370151697985
[21, 5],5610.45706194219,-15.174139344449031
[21, 6],5640.765090928044,-8.32882353680634
[21, 7],5666.325634880086,-3.3932952538998506
[21, 8],5689.597420489277,1.4004657350478737
[21, 9],5710.036556538723,5.184989708461217
[21, 10],5732.073212145665,10.68460119390511
[21, 11],5751.80483894181,11.03692134164612
